Query Number,SQL Query
Query 1,"SELECT dữ liệu từ bảng TBL_SLIP_MARK bảng group by theo INPUTTER, DEPARTMENT_CODE, COMPANY_ACCOUNTING, CO_CODE, DATE_TIME ( Các trường này đóng vai trò là KEY dữ liệu ).
INSERTnhững dữ liệu mới"
Query 2,"SELECT dữ liệu từ bảng TBL_SLIP_MARK_TRANS_NON_ACC bảng group by theo INPUTTER, VALUE_DATE ( lấy theo Date ko lấy Time) , CO_CODE, BUSINESS, DEPARTMENT_CODE, COMPANY_USER ( Các trường này đóng vai trò là KEY dữ liệu ).
INSERTnhững dữ liệu mới"
Query 3,"SELECT 
sm.MARK_USER mark_user,
sm.COMPANY_ACCOUNTING co_code,
AD_UNIT.UNIT_NAME unit_name,
TO_CHAR( sm.MARK_DATE, 'DD-MM-YYYY' ) mark_date,
1 number_slip
FROM
TBL_SLIP_MARK sm
JOIN AD_UNIT ON sm.COMPANY_ACCOUNTING = AD_UNIT.UNIT_CODE
WHERE
TRUNC( sm.MARK_DATE ) = TRUNC( SYSDATE - INTERVAL '1' DAY )
AND sm.MARK_USER IS NOT NULL
AND sm.SLIP_FROM = 'BI'
),
slipMarkNonAccData AS (
SELECT 
sm.MARK_USER mark_user,
sm.CO_CODE co_code,
AD_UNIT.UNIT_NAME unit_name,
TO_CHAR( sm.MARK_DATE, 'DD-MM-YYYY' ) mark_date,
1 number_slip
FROM
STG_SEAOPS.TBL_SLIP_MARK_TRANS_NON_ACC sm
JOIN AD_UNIT ON sm.CO_CODE = AD_UNIT.UNIT_CODE
WHERE
TRUNC( sm.MARK_DATE ) = TRUNC( SYSDATE - INTERVAL '1' DAY )
AND sm.MARK_USER IS NOT NULL
),
slipMarkNonTransRefData AS (
SELECT 
sm.MARK_USER mark_user,
sm.CO_CODE co_code,
AD_UNIT.UNIT_NAME unit_name,
TO_CHAR( sm.CREATED_DATE, 'DD-MM-YYYY' ) mark_date,
sm.TOTAL number_slip
FROM
TBL_SLIP_MARK_NON_TRANS_REF sm
JOIN AD_UNIT ON sm.CO_CODE = AD_UNIT.UNIT_CODE
WHERE
TRUNC( sm.CREATED_DATE ) = TRUNC( SYSDATE - INTERVAL '1' DAY )
AND sm.MARK_USER IS NOT NULL
),
SELECT * FROM slipMarkNonTransRefData ),
group_datas AS (
SELECT 
mark_user,
co_code AS unit_code,
unit_name,
mark_date,
sum( number_slip ) total_trans_ref
FROM
union_datas ud
GROUP BY
mark_user,
co_code,
mark_date,
unit_name
ORDER BY
mark_user
SELECT 
( gds.mark_user || unit_code || mark_date ) AS COMPOSE_KEY,
gds.*
FROM
group_datas gds"
Query 4,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION pe
JOIN TBL_CONTRACT_CONDITION cc ON cc.id = pe.CONTRACT_CONDITION_ID
WHERE pe.EVALUATION_DATE IS NOT NULL
AND pe.AUTO_EVALUATION_RESULT IS NULL
AND pe.GROUP_CONTRACT_CONDITION = 'CREDIT_RELATION'
AND  cc.STATUS = 'APPROVED'
AND ( (pe.REGISTER_DATE IS NOT NULL AND TRUNC(pe.REGISTER_DATE) < TRUNC (sysdate)) OR (pe.REGISTER_DATE IS NULL AND TRUNC(pe.EVALUATION_DATE) < TRUNC (sysdate)) );"
Query 5,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION pe
JOIN TBL_PERIOD_EVALUATION pe1 ON pe.CONTRACT_CONDITION_ID = pe1.CONTRACT_CONDITION_ID AND pe.PERIOD - 1 = pe1.PERIOD
WHERE AND pe.FREQUENCY = 1 AND pe.FREQUENCY_UNIT = 'M' AND pe.CONTRACT_CONDITION_ID = :contractConditionId;"
Query 6,SELECT *  TBL_CONDITION_CREDIT_RELATION cr WHERE cr.CONDITION_ID = :contractConditionId;
Query 7,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION pe
JOIN TBL_CONTRACT_CONDITION cc ON cc.ID = pe.CONTRACT_CONDITION_ID
WHERE
pe.EVALUATION_DATE IS NOT NULL
AND pe.AUTO_EVALUATION_RESULT IS NULL
AND pe.GROUP_CONTRACT_CONDITION = 'REVENUE'
AND cc.STATUS = 'APPROVED'
AND (
( pe.REGISTER_DATE IS NOT NULL AND TRUNC( pe.REGISTER_DATE ) < TRUNC( sysdate ) )
OR ( pe.REGISTER_DATE IS NULL AND TRUNC( pe.EVALUATION_DATE ) < TRUNC( sysdate ) )
);"
Query 8,"SELECT 
SUM( DISTINCT LOC_AMT )
FROM
STG_SEAOPS.TBL_BI_DISBURSEMENT_SALES
WHERE
CONTRACT_REF =: contract_ref
AND TRANS_TYPE IN ( '08', '09', '12' )
AND ( TO_DATE( VALUE_DATE, 'DD-MM-YYYY' ) BETWEEN : from_date AND : to_date )
GROUP BY
CONTRACT,
DAYID,
TRANS_TYPE;"
Query 9,"SELECT 
SUM( DISTINCT LOC_AMT )
FROM
STG_SEAOPS.TBL_BI_DISBURSEMENT_SALES
WHERE
CONTRACT_REF =: contract_ref
AND TRANS_TYPE IN ( '01', '02', '03' )
AND ( TO_DATE( VALUE_DATE, 'DD-MM-YYYY' ) BETWEEN : from_date AND : to_date )
GROUP BY
CONTRACT,
DAYID,
TRANS_TYPE;"
Query 10,"SELECT 
SUM( LC_AMOUNT_LCY )
FROM
TBL_BI_LC_RELEASE_SALES
WHERE
( TO_DATE( ISSUE_DATE, 'DD-MM-YYYY' ) BETWEEN : from_date AND : to_date )
AND CUSTOMER = : customerId
GROUP BY
CUSTOMER;"
Query 11,"SELECT 
SUM( AMOUNT )
FROM
TBL_BI_GUARANTEE_SALES
WHERE
( TO_DATE( PAST_SCHED_DATE, 'DD-MM-YYYY' ) BETWEEN : from_date AND : to_date )
AND CUSTOMER_ID = : customerId
GROUP BY
CUSTOMER_ID;"
Query 12,"SELECT 
SUM( AMOUNT )
FROM
TBL_BI_GUARANTEE_SALES
WHERE
( TO_DATE( PAST_SCHED_DATE, 'DD-MM-YYYY' ) BETWEEN : from_date AND : to_date )
AND CUSTOMER_ID = : customerId  AND CATEGORY = '28030'
GROUP BY
CUSTOMER_ID;"
Query 13,"SELECT 
SUM( AMOUNT )
FROM
TBL_BI_GUARANTEE_SALES
WHERE
( TO_DATE( PAST_SCHED_DATE, 'DD-MM-YYYY' ) BETWEEN : from_date AND : to_date )
AND CUSTOMER_ID = : customerId   AND CATEGORY = '28010'
GROUP BY
CUSTOMER_ID;"
Query 14,"SELECT 
SUM( AMOUNT )
FROM
TBL_BI_GUARANTEE_SALES
WHERE
( TO_DATE( PAST_SCHED_DATE, 'DD-MM-YYYY' ) BETWEEN : from_date AND : to_date )
AND CUSTOMER_ID = : customerId   AND CATEGORY = '28009'
GROUP BY
CUSTOMER_ID;"
Query 15,"SELECT 
SUM( AMOUNT )
FROM
TBL_BI_GUARANTEE_SALES
WHERE
( TO_DATE( PAST_SCHED_DATE, 'DD-MM-YYYY' ) BETWEEN : from_date AND : to_date )
AND CUSTOMER_ID = : customerId  AND CATEGORY = '28040'
GROUP BY
CUSTOMER_ID;"
Query 16,"SELECT 
SUM( AMOUNT )
FROM
TBL_BI_GUARANTEE_SALES
WHERE
( TO_DATE( PAST_SCHED_DATE, 'DD-MM-YYYY' ) BETWEEN : from_date AND : to_date )
AND CUSTOMER_ID = : customerId AND CATEGORY = '28042'
GROUP BY
CUSTOMER_ID;"
Query 17,"SELECT 
SUM( CAST( DEBT AS DECIMAL ) )
FROM
TBL_BI_CONTRACT_DEBT
WHERE
DAYID = : to_date
AND CUSTOMER_ID = : customerId
GROUP BY
CUSTOMER_ID;"
Query 18,"SELECT 
SUM( DISTINCT CAST( AMOUNT_LCY AS DECIMAL ) )
FROM
TBL_BI_CREDIT_SALES
WHERE
( DAYID BETWEEN : from_date AND : to_date )
AND CUSTOMER_ID = : customerId
GROUP BY
CUSTOMER_ID,OUT_REFERENCE;"
Query 19,"SELECT 
SUM( DISTINCT CAST( AMOUNT_LCY AS DECIMAL ) )
FROM
TBL_BI_CREDIT_SALES
WHERE
( DAYID BETWEEN : from_date AND : to_date )
AND CUSTOMER_ID = : customerId  AND OUT_REFERENCE like 'FT%'
GROUP BY
CUSTOMER_ID,OUT_REFERENCE;"
Query 20,"SELECT 
SUM( DISTINCT CAST( AMOUNT_LCY AS DECIMAL ) )
FROM
TBL_BI_CREDIT_SALES
WHERE
( DAYID BETWEEN : from_date AND : to_date )
AND CUSTOMER_ID = : customerId  AND OUT_REFERENCE like 'TT%'
GROUP BY
CUSTOMER_ID,OUT_REFERENCE;"
Query 21,"SELECT 
SUM( DISTINCT CAST( AMOUNT_LCY AS DECIMAL ) )
FROM
TBL_BI_CREDIT_SALES
WHERE
( DAYID BETWEEN : from_date AND : to_date )
AND CUSTOMER_ID = : customerId  AND OUT_REFERENCE like 'TF%'
GROUP BY
CUSTOMER_ID,OUT_REFERENCE;"
Query 22,"SELECT 
SUM( BALANCE )
FROM
TBL_BI_DISBURSEMENT_HISTORY
WHERE
CONTRACT_REF = : contractId
GROUP BY
CONTRACT_REF;"
Query 23,"SELECT 
TOI_VALUE
FROM
TBL_CONFIG_INPUT_TOI
WHERE
CONTRACT_ID = : contractId
AND CUSTOMER_ID = : customerId
AND PERIOD = : period;"
Query 24,"SELECT 
ID,
AUTO_PERIOD,
BUSINESS_UNIT_NOTE,
CONTENT,
CONTRACT_ID,
CONTROL_METHOD,
CREATED_DATE,
CREATED_USER,
DESCRIPTION,
DOCUMENT_NAME,
FIRST_DATE_CHOSEN_PERIOD,
FREQUENCY,
FREQUENCY_UNIT,
NEW_CUSTOMER,
RULE_MATCH,
RULE_NUMBER,
SANCTION,
SANCTION_TYPE,
STATUS,
TOI,
TOI_MATCH,
TOI_VALUE,
TYPE_PERIOD_RATE,
UPDATED_DATE,
UPDATED_USER,
START_PERIOD,
GROUP_CONTRACT_CONDITION,
REASON,
MIN_APPROVAL_VALUE,
IS_MIN_APPROVAL_VALUE,
LOAN_PRODUCT_ID,
CUSTOMER_ID,
CLONE_ID,
AUTO_EVALUATION_RESULT,
CUSTOMER_CLASS,
CO_CODE,
COMPANY_NAME_VN,
VERSION_CONFIG_ID,
ORIGIN_ID
FROM
TBL_REVENUE_CONDITION
WHERE
ID = : contractConditionId;"
Query 25,"SELECT 
ID,
ADVANCE,
APPROVAL_RATE,
CONTRACT,
CREATED_DATE,
CREATED_USER,
CREDIT_REVENUE,
DEBT_REVENUE,
DISBURMENT_REVENUE,
FT_ENTRY,
GUARANTEE_REVENUE,
LC_REVENUE,
LOAN,
MONEY_ON_DOCUMENT,
ORIGINAL_INTEREST_REVENUE,
OTHER_NUMBER,
PAYMENT,
RECIPROCAL,
REVENUE_CONDITION_ID,
RULE_NUMBER,
TF_ENTRY,
TT_ENTRY,
UPDATED_DATE,
UPDATED_USER,
DISBURSEMENT_MONEY,
DOCUMENT_ADDITIONAL,
AUTO_EVALUATION_RESULT,
VERSION_CONFIG_ID
FROM
TBL_REVENUE_CONFIGURATION
WHERE
REVENUE_CONDITION_ID = : contractConditionId;"
Query 26,"SELECT 
ID,
ADVANCE,
APPROVAL_RATE,
CONTRACT,
CREATED_DATE,
CREATED_USER,
CREDIT_REVENUE,
DEBT_REVENUE,
DISBURMENT_REVENUE,
FT_ENTRY,
GUARANTEE_REVENUE,
LC_REVENUE,
LOAN,
MONEY_ON_DOCUMENT,
ORIGINAL_INTEREST_REVENUE,
OTHER_NUMBER,
PAYMENT,
RECIPROCAL,
REVENUE_CONDITION_ID,
RULE_NUMBER,
TF_ENTRY,
TT_ENTRY,
UPDATED_DATE,
UPDATED_USER,
DISBURSEMENT_MONEY,
DOCUMENT_ADDITIONAL,
AUTO_EVALUATION_RESULT,
VERSION_CONFIG_ID
FROM
TBL_REVENUE_CONFIGURATION
WHERE
REVENUE_CONDITION_ID = : contractConditionId;"
Query 27,"SELECT 
TBL_REVENUE_PERIOD_RATE.PERIOD,
TBL_REVENUE_PERIOD_RATE.RATE,
TBL_REVENUE_PERIOD_RATE.TYPE
FROM
TBL_REVENUE_PERIOD_RATE
WHERE
( PERIOD =: period AND TYPE =: typePeriodRate )"
Query 28,"SELECT 
TBL_REVENUE_PERIOD_RATE.PERIOD,
TBL_REVENUE_PERIOD_RATE.RATE,
TBL_REVENUE_PERIOD_RATE.TYPE
FROM
TBL_REVENUE_PERIOD_RATE
JOIN max_period ON max_period.PERIOD = TBL_REVENUE_PERIOD_RATE.PERIOD
AND max_period.TYPE = TBL_REVENUE_PERIOD_RATE.TYPE
WHERE
TBL_REVENUE_PERIOD_RATE.TYPE =: typePeriodRate;"
Query 29,"SELECT CONTRACT_AMT FROM TBL_BI_CONTRACT_REF_DEFINE WHERE CONTRACT_ID = :contractId
Sau khi xử lý ta lấy được dữ liệu sau :"
Query 30,"UPDATE TBL_PERIOD_EVALUATION
SET auto_evaluation_result =
CASE
WHEN evaluation_result IS NULL THEN
'NOT_FOLLOW' ELSE 'FOLLOW'
END,
evaluation_result =
CASE
WHEN evaluation_result IS NULL THEN
'NOT_FOLLOW' ELSE evaluation_result
END;"
Query 31,"UPDATE TBL_PERIOD_EVALUATION
SET auto_evaluation_result =
:autoEvaluationResult,
evaluation_result =
CASE
WHEN evaluation_result IS NULL THEN
:autoEvaluationResult  ELSE evaluation_result
END;"
Query 32,"UPDATE tbl_revenue_condition
SET auto_evaluation_result =
: autoEvaluationResult;"
Query 33,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION pe
LEFT JOIN TBL_CONTRACT_CONDITION cc ON cc.id = pe.CONTRACT_CONDITION_ID
LEFT JOIN TBL_LOAN_PRODUCT_CONDITION lc ON lc.id = pe.CONTRACT_CONDITION_ID
WHERE
pe.EVALUATION_DATE IS NOT NULL
AND ( pe.AUTO_EVALUATION_RESULT IS NULL OR ( pe.AUTO_EVALUATION_RESULT = 'FOLLOW' AND pe.GROUP_CONTRACT_CONDITION = 'SECUR_PROP_INSURANCE' ) )
AND pe.EVALUATION_RESULT IS NULL
AND pe.GROUP_CONTRACT_CONDITION NOT IN ( 'CROSS_SELLING', 'CREDIT_RELATION', 'REVENUE' ) ( pe.STATUS IS NULL OR pe.STATUS <> 'APPROVED' )
AND (
pe.CONTRACT_CONDITION_ID IS NULL
OR ( pe.GROUP_CONTRACT_CONDITION <> 'LOAN_PRODUCT_CONDITION' AND cc.STATUS = 'APPROVED' )
OR ( pe.GROUP_CONTRACT_CONDITION = 'LOAN_PRODUCT_CONDITION' AND lc.STATUS = 'ACTIVE' )
)
AND (
( pe.REGISTER_DATE IS NOT NULL AND TRUNC( pe.REGISTER_DATE ) < TRUNC( SYSDATE ) )
OR ( pe.REGISTER_DATE IS NULL AND TRUNC( pe.EVALUATION_DATE ) < TRUNC( SYSDATE ) )
);"
Query 34,"UPDATE TBL_PERIOD_EVALUATION
SET AUTO_EVALUATION_RESULT = 'NOT_FOLLOW',
EVALUATION_RESULT= 'NOT_FOLLOW',
report_note =
CASE
WHEN 'STOP_CHECK_REPORT' = report_batch_id THEN
report_note ELSE NULL
END,
report_batch_id =
CASE
WHEN report_batch_id IS NOT NULL
AND 'STOP_CHECK_REPORT' <> report_batch_id THEN
'RE_CHECK'
WHEN 'STOP_CHECK_REPORT' = report_batch_id THEN
report_batch_id ELSE NULL END;"
Query 35,"UPDATE TBL_PERIOD_EVALUATION
SET AUTO_EVALUATION_RESULT = 'NOT_FOLLOW',
EVALUATION_RESULT= 'NOT_FOLLOW';"
Query 36,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION pe
JOIN TBL_CONTRACT_CONDITION cc ON cc.id = pe.CONTRACT_CONDITION_ID
WHERE
pe.EVALUATION_DATE IS NOT NULL
AND pe.AUTO_EVALUATION_RESULT IS NULL OR pe.AUTO_EVALUATION_RESULT = 'NOT_ENOUGH_EVALUATION_DATA'
AND pe.GROUP_CONTRACT_CONDITION = 'CROSS_SELLING'
AND ( pe.STATUS IS NULL OR.STATUS = 'APPROVED' )
AND (
( pe.REGISTER_DATE IS NOT NULL AND TRUNC( pe.REGISTER_DATE ) < TRUNC( SYSDATE ) )
OR ( pe.REGISTER_DATE IS NULL AND TRUNC( pe.EVALUATION_DATE ) < TRUNC( SYSDATE ) )
);"
Query 37,SELECT * FROM TBL_CROSS_SELLING WHERE CONDITION_ID = :conditionId;
Query 38,UPDATE TBL_PERIOD_EVALUATION SET AUTO_EVALUATION_RESULT = 'NOT_ENOUGH_EVALUATION_DATA' WHERE id = :id;
Query 39,"UPDATE TBL_PERIOD_EVALUATION
SET auto_evaluation_result =
:autoEvaluationResult,
evaluation_result =
CASE
WHEN evaluation_result IS NULL THEN
:autoEvaluationResult  ELSE evaluation_result
END;"
Query 40,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION
WHERE
PERIOD <> 0
AND GROUP_CONTRACT_CONDITION NOT IN ( 'REVALUE_COLLATERAL', 'SECUR_PROP_INSURANCE' )
AND ( CONTRACT_STATUS IS NULL OR CONTRACT_STATUS NOT IN ( 'OVERDUE_1', 'OVERDUE_2' ) )
AND ( CONTRACT_CONDITION_STATUS IS NULL OR CONTRACT_CONDITION_STATUS <> 'STOP_FOLLOW' )
AND LOCKED_KEY IS NULL
AND CREATE_NEXT_PERIOD_STATUS IN ( 'NEW', 'RENEW' )
AND ( FORCE_CREATE_NEXT = 1 OR CAST( EVALUATION_DATE AS DATE ) < CAST( SYSDATE ) );"
Query 41,"UPDATE bản ghi hiện tại : Không thực hiện sinh kỳ mới
+ Nếu FREQUENCY <> 0 AND EVALUATION_RESULT = FOLLOW  thực hiện insert thêm 1 bản ghi kỳ mới theo quy tắc"
Query 42,
Query 43,"UPDATE bản ghi hiện tại : Không thực hiện sinh kỳ mới
+ Nếu FREQUENCY <> 0 thực hiện insert thêm 1 bản ghi kỳ mới theo quy tắc"
Query 44,"SELECT * FROM TBL_PERIODIC_TEST_FREQUENCY WHERE CUSTOMER_TYPE = NVL(SUBSTR(PERIODIC_TYPE, 0, INSTR(PERIODIC_TYPE, '#')-1), PERIODIC_TYPE)= CUSTOMER_TYPE;"
Query 45,"SELECT * FROM TBL_LOAN_PRODUCT_CONDITION WHERE CODE = LOAN_PRODUCT_CODE ( LOAN_PRODUCT_CODE lấy từ dữ liệu gốc)
+ Nếu  AUTO_PERIOD = 1 OR BUSINESS_UNIT_NOTE = 1 OR  loanCondition IS NULL  update lại bản ghi gốc với dữ liệu sau :
SET CREATE_NEXT_PERIOD_STATUS = RENEW"
Query 46,"UPDATE lại bản ghi gốc với dữ liệu sau :
SET CREATE_NEXT_PERIOD_STATUS = SUCCESS."
Query 47,
Query 48,"UPDATE lại bản ghi gốc với dữ liệu sau :
SET CREATE_NEXT_PERIOD_STATUS = SUCCESS."
Query 49,"UPDATE TBL_PERIOD_EVALUATION
SET STATUS = 'STOP_FOLLOW',
REPORT_NOTE = 'Ngừng theo dõi TSBD'
WHERE
GROUP_CONTRACT_CONDITION IN ( 'REVALUE_COLLATERAL', 'SECUR_PROP_INSURANCE' )
SELECT DISTINCT COLLATERAL_ID FROM TBL_BI_COLLATERAL WHERE STATE = 'STOP_FOLLOW' );"
Query 50,"SELECT 
*
FROM
TBL_BI_COLLATERAL
WHERE
WHERE
TBL_BI_COLLATERAL.STATE = 'CHANGE'
AND TBL_BI_COLLATERAL.PERIOD_STATUS IN ( 'NEW', 'RENEW' )
AND TBL_BI_COLLATERAL.DATA_STATUS = 'ACTIVE'
AND TBL_BI_COLLATERAL.PERIOD_CONDITION = 'ENOUGH';"
Query 51,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION
WHERE
TBL_BI_COLLATERAL.COLLATERAL_ID = TBL_PERIOD_EVALUATION.COLLATERAL_ID
AND TBL_PERIOD_EVALUATION.GROUP_CONTRACT_CONDITION IN ( 'REVALUE_COLLATERAL', 'SECUR_PROP_INSURANCE' );"
Query 52,"SELECT * FROM tbl_val_collateral_frequency WHERE collateral_type = 	TBL_BI_COLLATERAL.COLL_TYPE
B3 : Lấy điều kiện nghị quyết"
